"","State","Year","BDPRP","CLPRB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","emissions","numInvestments","assistance"
"38","DE",2017,4351.48738189831,328197.231059315,25897.4758250214,430,51558.97006336,1830,706458.17182153,176548.138525615,363185.504140964,3269,1354,3269,280044,1579.45516585405,748,748,692,1439,46,13.76698515,65,1636426
"39","DE",2018,4368.8933314259,329510.019983552,26001.0657283215,430,51765.2059436134,1969,709284.004508816,177254.331079717,364638.246157528,3389,1492,3389,300567,1585.77298651746,739,739,680,1419,47,13.98931001,32,824222
"40","DE",2019,4386.3689047516,330828.060063487,26105.0699912348,430,51972.2667673879,2105,712121.140526851,177963.348404036,366096.799142158,3611,1628,3611,298616,1592.11607846353,789,789,716,1506,47,13.58957516,40,1485254
"41","FL",2015,649.74,332151.37230374,26209.4902711997,10056,2277,42466,1162,294099,12623,223761,30133,531646,4324701,1598.48454277739,111608,111608,69043,180650,47366.9451010362,237.3833592,45,3527420
"42","FL",2016,562.38,333479.977792955,26314.3282322845,10056,1611,42513,1062,306658,11066,223405,30846,542192,4362567,9939,108866,98926,71468,180333,47556.4128814403,238.8326956,72,4068360
"43","FL",2017,857.22,334813.897704127,26419.5855452137,10056,2011,50264,1048,304840,11005,236674,38197,553568,4345055,9840,109274,99435,76280,185555,47746.6385329661,238.4284129,56,1239122
"44","FL",2018,1829.1,336153.153294944,26525.2638873945,10056,2117,65529,1123,306461,10493,247001,53356,565077,4441047,11096,110027,98931,69626,179653,47937.625087098,242.0091133,62,49550089
"45","FL",2019,922.74,337497.765908124,26631.3649429441,10056,1869,80308,1295,303946,11037,248107,68383,564385,4371666,11065,108140,97075,58739,166879,48129.3755874464,233.5527795,53,52936642
"46","GA",2015,1250.34,338847.756971756,7450.128,315,27804,30579,714969.625088959,353883,367561.186338726,269514,2461,623396,2978591,1604.8784809485,195948,195948,28423,224371,48321.8930897961,145.6756383,247,6155856
"47","GA",2016,1779.96,340203.147999643,8618.4,315,31137,41707,717829.503589315,360633,369031.431084081,282334,10256,642967,2951822,15655,212606,196951,10855,223461,48515.1806621553,144.537737,222,20155611
"48","GA",2017,1747.2,341563.960591642,8075.76,315,22201,43232,720700.821603672,352560,370507.556808417,275016,20716,627576,2925877,17323,207534,190211,8082,215617,48709.241384804,141.8352401,185,2884817
"49","GA",2018,1386.84,342930.216434008,7702.296,315,33656,54929,723583.624890087,359262,371989.587035651,288295,20958,647556,3003699,19163,211205,192042,7007,218212,48904.0783503432,141.9209237,192,7882488
"50","GA",2019,1092,344301.937299744,8912.064,315,35230,57849,726477.959389647,350759,373477.545383794,301842,22304,652601,2955875,19523,220438,200915,6568,227006,49099.6946637445,136.4670209,191,2374660
"51","HI",2015,382.2,345679.145048943,26737.8904027159,2154,1129,17353,729383.871227206,178675.201797652,374971.455565329,24957,8360,24957,298992,1611.29799487229,38,38,7182,7220,5710,19.7810368,16,1033143
"52","HI",2016,453.18,347061.861629139,26844.8419643267,2409,839,18961,732301.406712114,179389.902604843,376471.34138759,27593,9813,27593,300390,1617.74318685178,35,35,8146,8181,5900,19.81846857,18,429104
"53","HI",2017,480.48,348450.109075656,26952.221332184,2980,609,21070,735230.612338963,180107.462215262,377977.226753141,26964,12579,26964,308376,1624.21415959919,106,106,5310,5415,4902,20.43258289,14,1467132
"54","HI",2018,513.24,349843.909511958,27060.0302175128,1010,879,20439,738171.534788319,180827.892064123,379489.135660153,26299,13070,26299,306342,1630.71101623758,94,94,5257,5351,5480,20.30121291,22,5818783
"55","HI",2019,485.94,351243.285150006,27168.2703383828,8,842,19884,741124.220927472,181551.20363238,381007.092202794,25273,14320,25273,307764,1637.23386030253,94,94,4812,4905,4714,20.51554679,14,329849
"56","IA",2015,31460.52,352648.258290606,300233.136,1281,8948,177203,744088.717811182,54836,382531.120571605,766862,419,821698,1507520,1643.78279574374,6967,6967,14458,21425,166555,77.41573961,198,5552396
"57","IA",2016,38607.66,354058.851323768,306377.736,1281,8464,195637,747065.072682427,49185,384061.245053891,801820,587,851005,1534622,1650.35792692672,6107,6107,14417,20524,185305,73.98337008,149,4220545
"58","IA",2017,37182.6,355475.086729063,320981.136,1281,9526,208620,750053.332973156,54528,385597.490034107,837092,905,891620,1572298,1656.95935863443,5936,5936,12140,18077,196907,76.30357904,179,6233820
"59","IA",2018,47447.4,356896.98707598,332079.72,1281,8420,205217,753053.546305049,51181,387139.879994243,865784,1291,916965,1633531,1663.58719606896,7254,7254,12166,19420,194225,82.42756253,239,8883799
"60","IA",2019,44460.78,358324.575024284,332398.92,1281,7091,244222,756065.760490269,54671,388688.43951422,901961,1604,956633,1645247,1670.24154485324,8298,8298,12031,20330,234246,77.29621466,120,3041432
"61","ID",2015,4403.91438037061,359757.873324381,4960.368,2207,81603,105046,1192,182277.408446909,172,153503,81,154866,540252,1676.92251103265,32130,32130,7455,39585,21156,18.03591394,108,1895904
"62","ID",2016,4421.53003789209,361196.904817678,5155.08,2167,83395,109756,5208,183006.518080697,1230,151509,390,157946,540164,1683.63020107678,31050,31050,1497,32547,23804,18.3418212,127,1317624
"63","ID",2017,4439.21615804366,362641.692436949,5244.456,2280,98306,128436,4192,183738.54415302,521,173010,4405,177723,557104,1690.36472188109,33266,33266,1941,35206,23444,18.70279024,88,988061
"64","ID",2018,4456.97302267584,364092.259206697,5212.536,2259,100366,132184,2113,184473.498329632,502,178935,5388,181550,556467,1697.12618076861,36036,36036,1391,37427,24172,19.04276093,89,1198524
"65","ID",2019,4474.80091476654,365548.628243524,5014.632,2354,92017,122586,1139,185211.39232295,125,169244,5500,170508,565998,1703.91468549169,36240,36240,1471,37711,22715,20.08591692,60,910270
"66","IL",2015,19180.98,1252879,118301.904,2042,1160,105293,2210,1017377,54426,355359,1938,2682250,3920125,1710.73034423366,8185,8185,11225,19411,100154,219.157681,57,2533998
"67","IL",2016,18689.58,977131,131120.976,2042,1226,103746,2317,1031331,49432,375139,2033,2435349,3925630,1717.57326561059,7597,7597,10995,18592,98445,207.4305588,36,1325335
"68","IL",2017,17799.6,1079624,126237.216,2042,1153,118502,2260,1016522,47581,378606,2285,2524593,3890442,1724.44355867303,7430,7430,9450,16880,113023,205.9749865,32,1262924
"69","IL",2018,18422.04,1095887,116345.208,2042,1334,114443,2596,1025651,48045,359817,2739,2531996,4017644,1731.34133290772,8890,8890,10065,18955,108328,213.1001319,64,5112413
"70","IL",2019,17450.16,1014448,112549.92,2042,1103,135410,2279,1030996,46969,372731,3503,2467422,3951620,1738.26669823936,9268,9268,9841,19109,128763,203.43232,84,11321378
"71","IN",2015,11897.34,776493,80358.6,4647,3553,51990,7446,185952.237892242,12686,242141,1714,1038766,2826490,1745.21976503231,18061,18061,16538,34599,42077,187.2335142,68,2525723
"72","IN",2016,13043.94,654493,86187.192,4647,3935,56205,6441,186696.046843811,10397,257458,2391,928789,2777075,1752.20064409244,17951,17951,16378,34328,45232,181.8275677,45,11391681
"73","IN",2017,12776.4,713397,87687.432,4647,2820,57387,6168,187442.831031186,10181,260439,3032,990185,2674436,1759.20944666881,17548,17548,16148,33696,46889,175.8904931,46,4052088
"74","IN",2018,12694.5,781628,90371.904,4647,2027,59866,5292,188192.602355311,9609,271248,3693,1067776,2806168,1766.24628445549,20797,20797,16323,37120,49500,189.2161684,59,5700232
"75","IN",2019,11493.3,712235,80237.304,4647,2280,66440,5306,188945.372764732,8997,257250,4160,983789,2779091,1773.31126959331,20438,20438,15754,36192,55354,176.1079655,52,1593785
"76","KS",2015,289.38,4387,37014.432,974,177,103733,318548,90254,260015,177374,87,850580,1101677,1780.40451467168,4487,4487,2671,7158,102495,64.51256023,120,2548830
"77","KS",2016,169.26,617,37837.968,974,282,131653,281646,86245,217116,205800,125,791424,1092806,1787.52613273037,3973,3973,2418,6391,130272,62.60936987,130,1440764
"78","KS",2017,147.42,367010.822756498,38814.72,974,269,172818,257200,111367,205026,248533,231,822127,1075697,1794.67623726129,3566,3566,2664,6230,171344,59.03202784,110,1454281
"79","KS",2018,70.98,368478.866047524,39982.992,974,241,173694,237402,95854,198084,253321,345,784661,1136232,1801.85494221034,4874,4874,3171,8046,172134,62.85277614,67,1041662
"80","KS",2019,3265.08,369952.781511714,40940.592,974,182,189733,212665,96565,189202,273764,471,772196,1129559,1809.06236197918,4777,4777,2947,7724,188105,60.4526702,43,992149
"81","KY",2015,4548.18,1486019,2081.184,2712,31717,34627,108080,189701.154255791,16362,75319,198,1685780,1730308,1816.29861142709,30971,30971,1475,32445,49296.0934423995,131.3429697,129,315635700
"82","KY",2016,5683.86,1041121,2259.936,2712,32108,35186,102591,190459.958872815,14849,76971,366,1235531,1704124,1823.5638058728,30577,30577,1514,32092,49493.2778161691,126.8081795,76,2257870
"83","KY",2017,6016.92,1015108,2275.896,2712,41514,44707,101295,191221.798708306,14176,89649,481,1220228,1662333,1830.85806109629,33288,33288,1600,34889,49691.2509274338,116.7819997,99,1948714
"84","KY",2018,5874.96,955471,2234.4,2712,40220,43651,96085,191986.685903139,12924,90231,719,1154710,1744818,1838.18149334068,34301,34301,2435,36736,49890.0159311435,122.771335,77,2944583
"85","KY",2019,5874.96,852990,2694.048,2712,37682,41221,89339,192754.632646752,14273,89293,827,1045895,1723238,1845.53421931404,34506,34506,2908,37414,50089.5759948681,115.3817286,63,1092217
"86","LA",2015,4492.70011842561,46879,27276.9434197364,1842,9310,12672,1916410,160015,364396,132249,1521,2619950,3911919,1852.9163561913,106587,106587,12990,119577,50289.9342988476,185.5592561,61,2312261
"87","LA",2016,4510.67091889931,38499,27386.0511934153,1842,10183,13876,1893803,179391,328643,154742,1851,2595078,4030644,6011,128495,122484,12371,140865,50491.094036043,189.1398596,98,1499474
"88","LA",2017,4528.71360257491,27892,27495.595398189,1842,8349,12149,2238355,161171,295015,142086,1958,2864519,4208312,5951,116924,110973,13013,129937,50693.0584121871,193.3738211,71,1216601
"89","LA",2018,4546.8284569852,20436,27605.5777797817,1842,10741,14773,2942607,179330,274413,143245,2189,3560031,4245610,6711,113857,107146,14615,128472,50895.8306458359,194.74322,86,764829
"90","LA",2019,4565.01577081315,21251,27716.0000909008,1842,12161,16254,3330380,145993,261527,133669,2251,3892819,4282045,6692,102895,96203,14520,117414,51099.4139684192,194.892652,67,250695185
"91","MA",2015,38.22,371432.592637761,27826.8640912644,859,7709,23103,759090.02353223,52236,390243.193272277,62787,12535,115022,1468270,1860.32802161606,20876,20876,18772,39648,2000,66.74652168,34,4240538
"92","MA",2016,54.6,372918.323008312,27938.1715476295,859,6578,26927,762126.383626359,56628,391804.166045366,65616,17495,122244,1426034,1867.76933370253,18928,18928,19705,38633,1995,64.08973529,35,841616
"93","MA",2017,109.2,374409.996300345,28049.92423382,859,9558,34093,765174.889160865,52788,393371.382709548,68467,21532,121256,1431083,1875.24041103734,14920,14920,19345,34264,2143,64.71316897,44,5852232
"94","MA",2018,109.2,375907.636285546,28162.1239307553,859,10320,41368,768235.588717508,46437,394944.868240386,75295,28177,121731,1469311,1882.74137268149,14310,14310,19505,33816,2012,64.10739497,46,3360964
"95","MA",2019,92.82,377411.266830688,28274.7724264783,859,8687,40935,771308.531072378,22734,396524.647713348,74190,29511,96924,1464995,1890.27233817221,16238,16238,16923,33161,1877,63.32557454,30,1860604
"96","MD",2015,4583.2758338964,45587,28387.8715161842,570,15127,24122,40,153140,398110.746304201,47614,4375,246381,1424201,1897.8334275249,14425,14425,9067,23492,4050,62.28032684,100,1890491
"97","MD",2016,4601.60893723198,37859,28501.423002249,570,12853,25123,36,154377,399703.189289418,48237,6834,240509,1386648,1905.424761235,14188,14188,8927,23115,4866,60.46760995,65,1349074
"98","MD",2017,4620.01537298091,42804,28615.428694258,570,18108,33197,34,158004,401302.002046575,55339,9348,256180,1346703,1913.04646027994,12954,12954,9188,22142,5172,55.040273,48,6343700
"99","MD",2018,4638.49543447284,30464,28729.890409035,570,25772,42987,14,156699,402907.210054762,65963,11456,253139,1391698,1920.69864612106,14204,14204,8772,22975,5189,61.68531518,61,2306029
"100","MD",2019,4657.04941621073,34661,28844.8099706711,570,19485,37802,14,156765,404518.838894981,55557,13115,246996,1355227,1928.38144070554,10199,10199,7556,17755,4633,56.87149823,73,1428319
"101","ME",2015,43.68,378920.911898011,28960.1892105538,72,31317,43787,774393.765196668,193525.651177339,406136.914250561,161418,323,161418,424754,1936.09496646837,113815,113815,3773,117588,12075,16.67908857,74,2818563
"102","ME",2016,60.06,380436.595545603,29076.029967396,72,27693,43575,777491.340257454,194299.753782048,407761.461907563,141943,418,141943,392025,1943.83934633424,94739,94739,3570,98309,15391,16.15310799,41,795948
"103","ME",2017,54.6,381958.341927786,29192.3340872656,72,31221,53363,780601.305618484,195076.952797176,409392.507755193,148038,577,148038,384730,1951.61470371958,91105,91105,3515,94619,21493,15.37643854,42,2223059
"104","ME",2018,54.6,383486.175295497,29309.1034236147,72,29689,52233,783723.710840958,195857.260608365,411030.077786214,149435,765,149435,388172,1959.42116253446,93851,93851,3295,97146,21707,14.76307256,41,2491389
"105","ME",2019,49.14,385020.119996679,29426.3398373091,72,31162,54339,786858.605684322,196640.689650798,412674.198097359,148456,897,148456,384261,1967.25884718459,91222,91222,2848,94070,22208,14.42640502,41,1093090
"106","MI",2015,715.26,386560.200476666,21427.896,5193,13971,64720,114061,306773,37504,223234,853,681571,2826679,1975.12788257333,98215,98215,21266,119481,44702,164.4556231,76,3049845
"107","MI",2016,1304.94,388106.441278572,21782.208,5193,14442,64076,108450,329999,32266,216674,1089,687389,2806190,1983.02839410363,90056,90056,22336,112392,43351,154.5188531,61,1293489
"108","MI",2017,1277.64,389658.867043687,26040.336,5193,15468,70181,102619,338675,31597,225919,1692,698809,2798055,1990.96050768004,85599,85599,22352,107951,47827,155.6806782,37,1287282
"109","MI",2018,1692.6,391217.502511861,27435.24,5193,14286,71467,95841,318655,31058,237163,2304,682717,2911393,1998.92434971076,92197,92197,22748,114945,49683,163.7174435,56,936266
"110","MI",2019,1348.62,392782.372521909,26129.712,5193,14691,74520,90423,343639,29493,233688,2758,697242,2880159,2006.9200471096,92140,92140,19054,111194,51878,159.2399805,65,2360732
"111","MN",2015,7802.34,394353.502011996,88475.856,1075,7912,100589,790006.040107059,125900,414324.894889748,345949,473,471848,1813635,2014.94772729804,65241,65241,14129,79370,91129,89.33099915,119,3292766
"112","MN",2016,9620.52,395930.916020044,89120.64,1075,11157,104583,793166.064267487,144970,415982.194469307,351303,645,496273,1838918,2023.00751820723,63244,63244,14720,77964,91706,91.10054342,92,16796366
"113","MN",2017,9030.84,397514.639684125,91000.728,1075,11587,121517,796338.728524557,145426,417646.123247184,363504,6247,508930,1862210,2031.09954828006,56284,56284,14153,70437,102608,91.27720044,74,2726558
"114","MN",2018,9822.54,399104.698242861,93164.904,1075,9591,118640,799524.083438655,152657,419316.707740173,366439,10437,519096,1940174,2039.22394647318,58812,58812,12585,71397,97537,94.75605009,154,55322766
"115","MN",2019,9238.32,400701.117035832,96101.544,1075,9404,120386,802722.17977241,147280,420993.974571134,366164,12265,513444,1900531,2047.38084225908,56250,56250,8843,65093,97642,92.08969013,140,29572563
"116","MO",2015,17674.02,3178,20767.152,352,14864,26386,1,109182,852,105635,1542,218848,1831407,2055.57036562811,22108,22108,2417,24526,9627,124.7473311,619,7036095
"117","MO",2016,21141.12,5125,21214.032,352,11711,24297,1,98630,704,105876,1876,210336,1781656,2063.79264709062,20211,20211,2441,22652,10357,119.0157079,520,10631411
"118","MO",2017,22200.36,5321,21794.976,352,10886,32395,1,86853,664,116838,2433,209676,1742207,2072.04781767899,19183,19183,4235,23417,18724,124.5052275,316,4957942
"119","MO",2018,27605.76,5654,21823.704,352,7542,36681,1,111401,548,131345,2980,248948,1860863,2080.3360089497,24807,24807,3355,28161,25807,124.7805316,185,3637928
"120","MO",2019,25765.74,4227,21057.624,352,19733,49069,1,95961,484,140354,3534,241027,1805708,2088.6573529855,24120,24120,3946,28066,25450,116.985714,177,3478408
"121","MS",2015,1905.54,34528,2243.976,958,52180.1558344574,988,60476,122511,142485,60419,29,420420,1085042,2097.01198239744,51479,51479,2042,53521,51303.8116242929,61.29692129,403,3710526
"122","MS",2016,8048.04,32349,3769.752,958,52388.8764577953,1031,50418,61680,116649,78133,73,339228,1071689,9243,60285,51042,2081,62366,51509.0268707901,62.31469737,608,96309030
"123","MS",2017,6764.94,32019,3827.208,958,52598.4319636265,1861,39719,77027,101772,71032,903,321569,1068298,7511,53355,45845,2243,55599,51715.0629782732,60.46289527,379,2686540
"124","MS",2018,8452.08,31979,3801.672,958,52808.825691481,4039,36499,72343,96734,76639,3080,314194,1105822,8301,55962,47660,1432,57394,51921.9232301863,63.23252555,469,3767073
"125","MS",2019,5842.2,28423,29544.0451966584,958,53020.0609942469,3966,34280,115202,96171,66401,3007,340476,1093230,8278,55062,46784,1563,56625,52129.6109231071,62.54458802,269,2609443
"126","MT",2015,4675.67761387557,746222,29662.221377445,337,92144,110876,55943,197427.252409401,163249,125018,85,1090432,403641,2105.40003032703,13759,13759,383,14143,18309,32.53164542,94,896759
"127","MT",2016,5.46,572787,29780.8702629548,337,93082,113287,52130,198216.961419039,132625,128095,110,885637,406422,2113.82163044834,14414,14414,392,14805,19758,31.13795175,90,2257495
"128","MT",2017,4694.38032433107,624772,29899.9937440066,337,100850,121314,50821,199009.829264715,118586,136249,275,930429,422863,2122.27691697013,14543,14543,389,14933,19852,31.25081171,93,1091494
"129","MT",2018,4713.1578456284,684031,30019.5937189826,337,103828,124266,47712,199805.868581774,123027,143018,497,997789,436316,2130.76602463802,18334,18334,417,18751,19604,31.25796736,114,2449554
"130","MT",2019,4732.01047701091,608890,30139.6720938586,337,89090,111051,47967,200605.092056101,130946,129217,489,917020,445912,2139.28908873657,17772,17772,393,18165,21135,32.28539515,61,618074
"131","NC",2015,256.62,402303.921503976,30260.230782234,967,44191,59028,805933.0684915,440248,422677.950469418,170008,13870,610256,2595919,2147.84624509151,101592,101592,9132,110724,52338.1293667995,124.7782841,232,202376181
"132","NC",2016,425.88,403913.137189992,30381.2717053629,967,40779,75202,809156.800765466,447500,424368.662271296,199520,33397,647020,2619589,17887,114422,96534,9472,123894,58,124.895788,156,190472938
"133","NC",2017,223.86,405528.789738752,30502.7967921844,967,35175,89578,812393.427968528,443192,426066.136920381,215578,49099,658771,2575147,17708,115730,98021,10048,125778,4337,121.1493749,149,235434075
"134","NC",2018,202.02,407150.904897707,30624.8079793531,967,60136,123878,815643.001680402,439915,427770.401468063,248825,57834,688740,2685032,19969,115308,95339,9439,124748,4941,124.2127343,132,141776088
"135","NC",2019,191.1,408779.508517297,30747.3072112705,967,55084,129772,818905.573687123,437683,429481.483073935,254022,69062,691705,2656262,19912,113628,93716,10433,124061,4659,122.6043034,115,126884709
"136","ND",2015,8588.58,392183,27534.192,978,19516,81127,678977,201407.512424326,2456200,141748,7,3669109,608353,2156.43763007188,865,865,1971,2835,60627,57.9230603,16,420940
"137","ND",2016,9298.38,399856,31549.728,978,17652,94079,766865,202213.142474023,2161886,162635,7,3491242,583657,2165.06338059217,1021,1021,1928,2949,75443,54.93206111,24,502584
"138","ND",2017,10439.52,394022,38958.36,978,23789,129426,857330,203021.995043919,2235455,212086,7,3698893,633995,2173.72363411454,839,839,1837,2676,104653,56.92163503,19,477713
"139","ND",2018,9806.16,399835,39076.464,978,28952,127650,993022,203834.083024095,2627271,209189,8,4229317,663153,2182.41852865099,837,837,1057,1894,97712,59.282972,30,520857
"140","ND",2019,9767.94,361946,39603.144,978,28312,129152,1187235,204649.419356191,2949752,211395,11,4710328,683875,2191.1482027656,839,839,1014,1853,99852,57.15288871,18,759349
"141","NE",2015,125.58,410414.626551367,148894.032,1212,15702,46594,504,107976,15419,317158,41,441057,857967,2199.91279557666,2958,2958,1203,4161,29639,50.71057586,247,3396859
"142","NE",2016,3483.48,412056.285057572,156018.576,1212,7906,44275,557,97798,12560,330919,90,441834,870370,2208.71244675897,2843,2843,1663,4506,35067,48.35090988,199,4011050
"143","NE",2017,6328.14,413704.510197802,158849.88,1212,13719,61990,483,72300,11978,355970,220,440731,873303,2217.547296546,2330,2330,1587,3917,46840,47.87762064,263,3743400
"144","NE",2018,5945.94,415359.328238594,158715.816,1212,12582,64686,459,58884,11732,359674,373,430748,909065,2226.41748573219,3394,3394,1811,5205,50519,52.35500953,271,4330170
"145","NE",2019,3172.26,417020.765551548,159973.464,1212,11935,77807,411,72589,10883,371935,446,455818,907219,2235.32315567512,3699,3699,1796,5495,64215,50.47008377,206,2293019
